EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7246459181000,MATCHED,133,7246459181000,133,8834675557000,7246459178000,3000,0.003000
7246492502000,MATCHED,134,7246492502000,134,8834708875000,7246492496000,6000,0.006000
7246525820000,MATCHED,135,7246525820000,135,8834742194000,7246525815000,5000,0.005000
7246559139000,MATCHED,136,7246559139000,136,8834775512000,7246559133000,6000,0.006000
7246592456000,MATCHED,137,7246592456000,137,8834808830000,7246592451000,5000,0.005000
7246625776000,MATCHED,138,7246625776000,138,8834842149000,7246625770000,6000,0.006000
7246659091000,MATCHED,139,7246659091000,139,8834875468000,7246659089000,2000,0.002000
7246692411000,MATCHED,140,7246692411000,140,8834908785000,7246692406000,5000,0.005000
7246725728000,MATCHED,141,7246725728000,141,8834942104000,7246725725000,3000,0.003000
7246759047000,MATCHED,142,7246759047000,142,8834975423000,7246759044000,3000,0.003000
7246792366000,MATCHED,143,7246792366000,143,8835008742000,7246792363000,3000,0.003000
7246825684000,MATCHED,144,7246825684000,144,8835042060000,7246825681000,3000,0.003000
7246859002000,MATCHED,145,7246859002000,145,8835075378000,7246858999000,3000,0.003000
7246892326000,MATCHED,146,7246892326000,146,8835108697000,7246892318000,8000,0.008000
7246925636000,MATCHED,147,7246925636000,147,8835142015000,7246925636000,0,0.000000
7246958957000,MATCHED,148,7246958957000,148,8835175333000,7246958954000,3000,0.003000
7246992275000,MATCHED,149,7246992275000,149,8835208653000,7246992274000,1000,0.001000
7247025597000,MATCHED,150,7247025597000,150,8835241971000,7247025592000,5000,0.005000
7247058914000,MATCHED,151,7247058914000,151,8835275292000,7247058913000,1000,0.001000
7247092231000,MATCHED,152,7247092231000,152,8835308609000,7247092230000,1000,0.001000
7247125548000,MATCHED,153,7247125548000,153,8835341925000,7247125546000,2000,0.002000
7247158870000,MATCHED,154,7247158870000,154,8835375244000,7247158865000,5000,0.005000
7247192195000,MATCHED,155,7247192195000,155,8835408563000,7247192184000,11000,0.011000
7247225505000,MATCHED,156,7247225505000,156,8835441881000,7247225502000,3000,0.003000
7247258821000,MATCHED,157,7247258821000,157,8835475200000,7247258821000,0,0.000000
7247292142000,MATCHED,158,7247292142000,158,8835508518000,7247292139000,3000,0.003000
7247325479000,MATCHED,159,7247325479000,159,8835541836000,7247325457000,22000,0.022000
7247358781000,MATCHED,160,7247358781000,160,8835575155000,7247358776000,5000,0.005000
7247392096000,MATCHED,161,7247392096000,161,8835608474000,7247392095000,1000,0.001000
7247425415000,MATCHED,162,7247425415000,162,8835641792000,7247425413000,2000,0.002000
7247458734000,MATCHED,163,7247458734000,163,8835675111000,7247458732000,2000,0.002000
7247492057000,MATCHED,164,7247492057000,164,8835708429000,7247492050000,7000,0.007000
7247525372000,MATCHED,165,7247525372000,165,8835741747000,7247525368000,4000,0.004000
7247558688000,MATCHED,166,7247558688000,166,8835775066000,7247558687000,1000,0.001000
7247592033000,MATCHED,167,7247592033000,167,8835808384000,7247592005000,28000,0.028000
7247625332000,MATCHED,168,7247625332000,168,8835841702000,7247625323000,9000,0.009000
7247658645000,MATCHED,169,7247658645000,169,8835875021000,7247658642000,3000,0.003000
7247691969000,MATCHED,170,7247691969000,170,8835908340000,7247691961000,8000,0.008000
7247725280000,MATCHED,171,7247725280000,171,8835941658000,7247725279000,1000,0.001000
7247758600000,MATCHED,172,7247758600000,172,8835974976000,7247758597000,3000,0.003000
7247791919000,MATCHED,173,7247791919000,173,8836008295000,7247791916000,3000,0.003000
7247825241000,MATCHED,174,7247825241000,174,8836041613000,7247825234000,7000,0.007000
7247858558000,MATCHED,175,7247858558000,175,8836074932000,7247858553000,5000,0.005000
7247891881000,MATCHED,176,7247891881000,176,8836108250000,7247891871000,10000,0.010000
7247925204000,MATCHED,177,7247925204000,177,8836141568000,7247925189000,15000,0.015000
7247958523000,MATCHED,178,7247958523000,178,8836174887000,7247958508000,15000,0.015000
7247991838000,MATCHED,179,7247991838000,179,8836208206000,7247991827000,11000,0.011000
7248025149000,MATCHED,180,7248025149000,180,8836241524000,7248025145000,4000,0.004000
7248058479000,MATCHED,181,7248058479000,181,8836274843000,7248058464000,15000,0.015000
7248091786000,MATCHED,182,7248091786000,182,8836308158000,7248091779000,7000,0.007000
7248125103000,MATCHED,183,7248125103000,183,8836341480000,7248125101000,2000,0.002000
7248158421000,MATCHED,184,7248158421000,184,8836374797000,7248158418000,3000,0.003000
7248191742000,MATCHED,185,7248191742000,185,8836408116000,7248191737000,5000,0.005000
7248225057000,MATCHED,186,7248225057000,186,8836441435000,7248225056000,1000,0.001000
7248258377000,MATCHED,187,7248258377000,187,8836474753000,7248258374000,3000,0.003000
7248291698000,MATCHED,188,7248291698000,188,8836508071000,7248291692000,6000,0.006000
7248325014000,MATCHED,189,7248325014000,189,8836541390000,7248325011000,3000,0.003000
7248358333000,MATCHED,190,7248358333000,190,8836574708000,7248358329000,4000,0.004000
7248391657000,MATCHED,191,7248391657000,191,8836608030000,7248391651000,6000,0.006000
7248424977000,MATCHED,192,7248424977000,192,8836641345000,7248424966000,11000,0.011000
7248458293000,MATCHED,193,7248458293000,193,8836674664000,7248458285000,8000,0.008000
7248491606000,MATCHED,194,7248491606000,194,8836707982000,7248491603000,3000,0.003000
7248524924000,MATCHED,195,7248524924000,195,8836741301000,7248524922000,2000,0.002000
